Name,Audio Link
تامر,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1751224187-7ebc2576-6699-46c1-86fd-80fc090ee0f0.mp3
صالح,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1754101410-0da97d9b-8a18-4884-9e68-cf1ae1fdaf45.mp3
رافي,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1751224655-a046b58c-9bd8-490b-a39d-87f6568c4144.mp3
أنيس,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1754101653-80ff6c00-2205-4c73-b55c-eb224f9123cf.mp3
ساجي,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1751225146-f19893e7-ee48-48a1-96a1-2e81b4597a05.mp3
عادل,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1754101973-dc7f0db2-eb72-42ad-a8b1-65c5f19c8724.mp3
جمعون,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1754102498-88562a9c-3088-41cb-9f0e-527721e1fdbd.mp3
فارس,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1751244658-1c952b25-d3c7-4306-9488-823539f73a1e.wav
حميد,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1754102783-5152d9d7-7f45-4431-971e-88e46fec2f23.mp3
عنان,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1751244943-30fd3d26-bb91-4cb6-a480-335b1fbcb113.wav
خديجة,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1751246266-970dd139-b85d-4caf-88b9-09a64bc86fc4.wav
ماجد,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1751246622-66b5a0e4-3da2-4360-a014-c208d70b0889.wav
أيمن,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1751214799-b0768c76-b121-4272-9f5f-92b82bffed86.mp3
يزد,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1751246847-9693b5ce-b0c5-47a4-8098-c243da39fc6e.wav
ناصر,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1751247199-35d73e30-697c-4ba8-956c-7d4f4a0a04f0.wav
زكرياء,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1751247775-f5c2ff5a-ffcf-49c6-9bd3-824bdf926314.wav
سنان,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1751248116-a4fe55af-6159-4863-91ee-b550e505f961.wav
حمود,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1751248391-be65c5ef-b404-4720-bcf5-eae1cd401638.wav
رضوان,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1751248861-86980c88-e33d-4b13-b137-21d9a9146f7b.wav
زيد,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1751214243-519cbf98-9da0-49a3-8d52-f9e192b14637.mp3
حسناء,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1747943865-63c63449-5d0b-4777-9f79-260cbfb21532.wav
أنور,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1751249277-f6ed739e-ee86-41b5-8ea6-599b01bb0084.wav
وليد,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1747943945-6d02fd78-32a4-4664-b20a-ff523e54e507.wav
عائشة,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1747944044-15082dae-0582-4b24-a38a-08dbbbfe89fc.wav
قيس,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1751249793-0bcabe0e-4e21-4aea-8483-e2d9818e1787.wav
مهند,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1747944169-9351ca1f-091f-4431-babd-1cc7ede83742.wav
نواف,https://lahajati.ai/storage/app/public/cloned_voices/previews/voice-audio-1751250029-1ec68aae-b0f8-4295-8ca1-7dec9b1ee19f.wav
